obs,BatID,species,type,se_value,MID,IID,dif
O1,15,V. vulturnus,left,0.03,15O1left,85,-0.10000000000000142
O1,15,V. vulturnus,right,0.03,15O1right,86,0.09999999999999787
O2,15,V. vulturnus,left,0.03,15O2left,87,-0.10000000000000142
O2,15,V. vulturnus,right,0.03,15O2right,88,0.10000000000000142
O3,15,V. vulturnus,left,0.03,15O3left,89,0.3999999999999986
O3,15,V. vulturnus,right,0.03,15O3right,90,0
O1,16,V. vulturnus,left,0.03,16O1left,91,0.1999999999999993
O1,16,V. vulturnus,right,0.03,16O1right,92,0
O2,16,V. vulturnus,left,0.03,16O2left,93,0
O2,16,V. vulturnus,right,0.03,16O2right,94,0
O3,16,V. vulturnus,left,0.03,16O3left,95,0.20000000000000284
O3,16,V. vulturnus,right,0.03,16O3right,96,0
O1,17,V. vulturnus,left,0.03,17O1left,97,0.7999999999999972
O1,17,V. vulturnus,right,0.03,17O1right,98,0.10000000000000142
O2,17,V. vulturnus,left,0.03,17O2left,99,-0.10000000000000142
O2,17,V. vulturnus,right,0.03,17O2right,100,0
O3,17,V. vulturnus,left,0.03,17O3left,101,0.09999999999999787
O3,17,V. vulturnus,right,0.03,17O3right,102,-0.10000000000000142
O1,18,V. vulturnus,left,0.03,18O1left,103,-0.20000000000000284
O1,18,V. vulturnus,right,0.03,18O1right,104,0.09999999999999787
O2,18,V. vulturnus,left,0.03,18O2left,105,0.10000000000000142
O2,18,V. vulturnus,right,0.03,18O2right,106,0.09999999999999787
O3,18,V. vulturnus,left,0.03,18O3left,107,-0.1999999999999993
O3,18,V. vulturnus,right,0.03,18O3right,108,0.6999999999999993
O1,19,V. vulturnus,left,0.03,19O1left,109,-0.3000000000000007
O1,19,V. vulturnus,right,0.03,19O1right,110,0.09999999999999787
O2,19,V. vulturnus,left,0.03,19O2left,111,0
O2,19,V. vulturnus,right,0.03,19O2right,112,0
O3,19,V. vulturnus,left,0.03,19O3left,113,0.10000000000000142
O3,19,V. vulturnus,right,0.03,19O3right,114,0.10000000000000142
O1,20,V. vulturnus,left,0.03,20O1left,115,0.09999999999999787
