species,value,sd_val,Sex,sd1
Vespadelus regulus,32.6,0.03,F,0.28
Vespadelus darlingtoni,35.3,0.03,F,0.28
Vespadelus darlingtoni,34.6,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus regulus,34.2,0.03,F,0.28
Vespadelus regulus,32.2,0.03,F,0.28
Vespadelus regulus,34.5,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus darlingtoni,34.4,0.03,F,0.28
Vespadelus darlingtoni,35.8,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus regulus,30.9,0.03,F,0.28
Vespadelus regulus,33.8,0.03,F,0.28
Vespadelus regulus,32.9,0.03,F,0.28
Vespadelus darlingtoni,35.1,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus darlingtoni,36.2,0.03,F,0.28
Vespadelus vulturnus,27.8,0.03,F,0.28
Vespadelus vulturnus,31.1,0.03,F,0.28
Vespadelus darlingtoni,35.8,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus regulus,29,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus darlingtoni,34.3,0.03,F,0.28
Vespadelus vulturnus,29.2,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus regulus,33.5,0.03,F,0.28
Vespadelus darlingtoni,34.8,0.03,F,0.28
Vespadelus regulus,32.7,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus regulus,31.7,0.03,F,0.28
Vespadelus regulus,35,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus regulus,33.7,0.03,F,0.28
Vespadelus regulus,34.6,0.03,F,0.28
Vespadelus darlingtoni,34,0.03,F,0.28
Vespadelus regulus,33.6,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus vulturnus,29.9,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,28.8,0.03,F,0.28
Vespadelus vulturnus,28.2,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,28.2,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,27,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,28.2,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,28.2,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,30.4,0.03,F,0.28
Vespadelus vulturnus,27.8,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,30.2,0.03,F,0.28
Vespadelus vulturnus,28.1,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,30.3,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,28,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,28.5,0.03,F,0.28
Vespadelus vulturnus,28.4,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,30.4,0.03,F,0.28
Vespadelus vulturnus,28.4,0.03,F,0.28
Vespadelus vulturnus,27.3,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,29.9,0.03,F,0.28
Vespadelus vulturnus,28,0.03,F,0.28
Vespadelus vulturnus,29.9,0.03,F,0.28
Vespadelus vulturnus,30.1,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,27.9,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus vulturnus,28.2,0.03,F,0.28
Vespadelus vulturnus,28.5,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
